epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,12292.9,0.98111,0.97001,1.5601,0.84742,0.73753,0.83127,0.52853,1.16246,1.04813,1.74353,0.000633115,0.000633115,0.000633115
127,12390.1,1.00058,0.96926,1.57918,0.77433,0.7561,0.82037,0.5358,1.15173,0.99036,1.72519,0.000628101,0.000628101,0.000628101
128,12487.5,0.9732,0.93846,1.53492,0.87172,0.71816,0.82501,0.52872,1.19883,1.04283,1.78689,0.000623074,0.000623074,0.000623074
129,12584.7,0.99244,0.96141,1.57361,0.84815,0.74171,0.83343,0.53289,1.18145,1.02258,1.77507,0.000618034,0.000618034,0.000618034
130,12682,0.96103,0.9385,1.54986,0.87003,0.74378,0.85787,0.55948,1.13388,0.94137,1.72161,0.000612981,0.000612981,0.000612981
131,12779.4,0.97649,0.98755,1.55747,0.84162,0.73984,0.82996,0.54019,1.12372,0.99153,1.69984,0.000607916,0.000607916,0.000607916
132,12876.7,0.92881,0.91355,1.53163,0.88472,0.71274,0.84304,0.54884,1.15787,0.96198,1.71265,0.00060284,0.00060284,0.00060284
133,12974,0.96031,0.9484,1.54165,0.84346,0.78849,0.85263,0.5578,1.13581,0.94344,1.68641,0.000597754,0.000597754,0.000597754
134,13071.3,0.97455,0.92255,1.53756,0.84527,0.7561,0.84862,0.52116,1.25193,0.9839,1.8188,0.000592657,0.000592657,0.000592657
135,13168.6,0.96834,0.91129,1.52796,0.77046,0.78226,0.83097,0.53349,1.16938,0.97362,1.78153,0.000587551,0.000587551,0.000587551
136,13265.9,0.99483,0.92958,1.56506,0.79186,0.7832,0.82858,0.54735,1.15115,0.99685,1.74634,0.000582435,0.000582435,0.000582435
137,13363.1,0.97504,0.91138,1.54906,0.87385,0.77236,0.86557,0.57468,1.097,0.95807,1.6774,0.000577311,0.000577311,0.000577311
138,13460.4,0.91672,0.88479,1.51214,0.82926,0.76341,0.83565,0.54463,1.14064,0.96364,1.71625,0.000572179,0.000572179,0.000572179
139,13557.7,0.92921,0.88712,1.5158,0.82036,0.78862,0.84943,0.56944,1.1143,0.9125,1.6943,0.00056704,0.00056704,0.00056704
140,13655.1,0.94789,0.91158,1.52668,0.84233,0.79946,0.85561,0.54718,1.15456,0.93168,1.71821,0.000561894,0.000561894,0.000561894
141,13752.3,0.9264,0.89761,1.51622,0.88186,0.76872,0.85577,0.5523,1.14138,0.93228,1.68191,0.000556742,0.000556742,0.000556742
